,kdjk,kdjd,kdjj
7,51.64626656081749,50.54875552027249,53.84128864190746
8,55.45825417456359,51.819418058187864,62.73592640731503
9,42.25776131423404,47.41925377141135,31.934776399879414
10,64.26753622684842,54.755845408949476,83.2909178626463
13,43.04804589684543,47.68268196561514,33.77877375930601
14,39.69165065722872,46.563883552409564,25.947184866866994
15,54.52767481287974,51.509224937626584,60.56457456338604
16,50.43693884387568,50.145646281291896,51.01952396904323
17,55.32882365716652,51.776274552388834,62.433921866721874
21,49.395631294373366,49.79854376479112,48.589806353537874
22,53.95052275113372,51.31684091704457,59.21788641931201
23,43.87627934081236,47.95875978027079,35.71131846189554
24,50.8863871551466,50.295462385048864,52.06823669534206
27,55.02758032192207,51.675860107307365,61.73102075115152
28,56.06033700181922,52.02011233393974,64.14078633757816
